pincode,Districtname,statename,infected,L1-High-Infection-Danger,L2-Moderate-Infection-Danger
140413,Rupnagar,PUNJAB,0,0,0
140417,Fatehgarh Sahib,PUNJAB,0,0,0
140501,Patiala,PUNJAB,0,0,0
140506,Mohali,PUNJAB,0,0,0
140507,Mohali,PUNJAB,0,0,0
140601,Patiala,PUNJAB,0,0,0
140602,Patiala,PUNJAB,0,0,0
140603,Patiala,PUNJAB,0,0,0
140604,Mohali,PUNJAB,0,0,0
140701,Patiala,PUNJAB,0,0,0
140702,Patiala,PUNJAB,0,0,0
140802,Fatehgarh Sahib,PUNJAB,0,0,0
140901,Mohali,PUNJAB,0,0,0
141001,Ludhiana,PUNJAB,0,0,0
141002,Ludhiana,PUNJAB,0,0,0
141003,Ludhiana,PUNJAB,0,0,0
141004,Ludhiana,PUNJAB,0,0,0
141006,Ludhiana,PUNJAB,0,0,0
141007,Ludhiana,PUNJAB,0,0,0
141008,Ludhiana,PUNJAB,0,0,0
141010,Ludhiana,PUNJAB,0,0,0
141012,Ludhiana,PUNJAB,0,0,0
141013,Ludhiana,PUNJAB,0,0,0
141014,Ludhiana,PUNJAB,0,0,0
141015,Ludhiana,PUNJAB,0,0,0
141016,Ludhiana,PUNJAB,0,0,0
141017,Ludhiana,PUNJAB,0,0,0
141101,Ludhiana,PUNJAB,0,0,0
141102,Ludhiana,PUNJAB,0,0,0
141103,Ludhiana,PUNJAB,0,0,0
141104,Ludhiana,PUNJAB,0,0,0
141105,Ludhiana,PUNJAB,0,0,0
141106,Ludhiana,PUNJAB,0,0,0
141107,Ludhiana,PUNJAB,0,0,0
141108,Ludhiana,PUNJAB,0,0,0
141109,Ludhiana,PUNJAB,0,0,0
141110,Ludhiana,PUNJAB,0,0,0
141112,Ludhiana,PUNJAB,0,0,0
141113,Ludhiana,PUNJAB,0,0,0
141114,Ludhiana,PUNJAB,0,0,0
141115,Ludhiana,PUNJAB,0,0,0
141116,Ludhiana,PUNJAB,0,0,0
141117,Ludhiana,PUNJAB,0,0,0
141118,Ludhiana,PUNJAB,0,0,0
141119,Ludhiana,PUNJAB,0,0,0
141120,Ludhiana,PUNJAB,0,0,0
141121,Ludhiana,PUNJAB,0,0,0
141122,Ludhiana,PUNJAB,0,0,0
141123,Ludhiana,PUNJAB,0,0,0
141125,Ludhiana,PUNJAB,0,0,0
141126,Ludhiana,PUNJAB,0,0,0
141127,Ludhiana,PUNJAB,0,0,0
141201,Ludhiana,PUNJAB,0,0,0
141202,Ludhiana,PUNJAB,0,0,0
141203,Ludhiana,PUNJAB,0,0,0
141204,Ludhiana,PUNJAB,0,0,0
141205,Ludhiana,PUNJAB,0,0,0
141206,Ludhiana,PUNJAB,0,0,0
141401,Ludhiana,PUNJAB,0,0,0
141411,Fatehgarh Sahib,PUNJAB,0,0,0
141412,Ludhiana,PUNJAB,0,0,0
141413,Ludhiana,PUNJAB,0,0,0
141414,Ludhiana,PUNJAB,0,0,0
141415,Ludhiana,PUNJAB,0,0,0
141416,Ludhiana,PUNJAB,0,0,0
141417,Ludhiana,PUNJAB,0,0,0
141418,Ludhiana,PUNJAB,0,0,0
141419,Ludhiana,PUNJAB,0,0,0
141421,Fatehgarh Sahib,PUNJAB,0,0,0
141422,Ludhiana,PUNJAB,0,0,0
141801,Fatehgarh Sahib,PUNJAB,0,0,0
142001,Moga,PUNJAB,0,0,0
142002,Moga,PUNJAB,0,0,0
142003,Moga,PUNJAB,0,0,0
142011,Moga,PUNJAB,0,0,0
142021,Ludhiana,PUNJAB,0,0,0
142022,Ludhiana,PUNJAB,0,0,0
142023,Ludhiana,PUNJAB,0,0,0
142024,Ludhiana,PUNJAB,0,0,0
142025,Ludhiana,PUNJAB,0,0,0
142026,Ludhiana,PUNJAB,0,0,0
142027,Ludhiana,PUNJAB,0,0,0
142029,Ludhiana,PUNJAB,0,0,0
142030,Ludhiana,PUNJAB,0,0,0
142031,Ludhiana,PUNJAB,0,0,0
142032,Ludhiana,PUNJAB,0,0,0
142033,Ludhiana,PUNJAB,0,0,0
142034,Ludhiana,PUNJAB,0,0,0
142035,Ludhiana,PUNJAB,0,0,0
142036,Ludhiana,PUNJAB,0,0,0
142037,Moga,PUNJAB,0,0,0
142038,Moga,PUNJAB,0,0,0
142039,Moga,PUNJAB,0,0,0
142040,Moga,PUNJAB,0,0,0
142041,Firozpur,PUNJAB,0,0,0
142042,Moga,PUNJAB,0,0,0
142043,Moga,PUNJAB,0,0,0
142044,Firozpur,PUNJAB,0,0,0
142045,Moga,PUNJAB,0,0,0
142046,Moga,PUNJAB,0,0,0
142047,Firozpur,PUNJAB,0,0,0
142048,Moga,PUNJAB,0,0,0
142049,Moga,PUNJAB,0,0,0
142050,Firozpur,PUNJAB,0,0,0
142052,Firozpur,PUNJAB,0,0,0
142053,Moga,PUNJAB,0,0,0
142054,Moga,PUNJAB,0,0,0
142055,Moga,PUNJAB,0,0,0
142056,Moga,PUNJAB,0,0,0
142057,Moga,PUNJAB,0,0,0
142058,Moga,PUNJAB,0,0,0
142060,Firozpur,PUNJAB,0,0,0
143001,Amritsar,PUNJAB,0,0,0
143002,Amritsar,PUNJAB,0,0,0
143003,Amritsar,PUNJAB,0,0,0
143005,Amritsar,PUNJAB,0,0,0
143006,Amritsar,PUNJAB,0,0,0
143008,Amritsar,PUNJAB,0,0,0
143009,Amritsar,PUNJAB,0,0,0
143022,Amritsar,PUNJAB,0,0,0
143101,Amritsar,PUNJAB,0,0,0
143102,Amritsar,PUNJAB,0,0,0
143103,Amritsar,PUNJAB,0,0,0
143105,Amritsar,PUNJAB,0,0,0
143107,Amritsar,PUNJAB,0,0,0
143108,Amritsar,PUNJAB,0,0,0
143109,Amritsar,PUNJAB,0,0,0
143110,Amritsar,PUNJAB,0,0,0
143111,Amritsar,PUNJAB,0,0,0
143112,Amritsar,PUNJAB,0,0,0
143113,Amritsar,PUNJAB,0,0,0
143114,Amritsar,PUNJAB,0,0,0
143115,Amritsar,PUNJAB,0,0,0
143116,Amritsar,PUNJAB,0,0,0
143117,Amritsar,PUNJAB,0,0,0
143118,Tarn Taran,PUNJAB,0,0,0
143119,Amritsar,PUNJAB,0,0,0
143149,Amritsar,PUNJAB,0,0,0
143201,Amritsar,PUNJAB,0,0,0
143202,Amritsar,PUNJAB,0,0,0
143203,Amritsar,PUNJAB,0,0,0
143204,Amritsar,PUNJAB,0,0,0
143205,Amritsar,PUNJAB,0,0,0
143301,Amritsar,PUNJAB,0,0,0
143302,Amritsar,PUNJAB,0,0,0
143303,Amritsar,PUNJAB,0,0,0
143304,Amritsar,PUNJAB,0,0,0
143305,Amritsar,PUNJAB,0,0,0
143401,Tarn Taran,PUNJAB,0,0,0
143406,Amritsar,PUNJAB,0,0,0
143407,Amritsar,PUNJAB,0,0,0
143408,Tarn Taran,PUNJAB,0,0,0
143409,Amritsar,PUNJAB,0,0,0
143410,Amritsar,PUNJAB,0,0,0
143411,Amritsar,PUNJAB,0,0,0
143412,Tarn Taran,PUNJAB,0,0,0
143413,Amritsar,PUNJAB,0,0,0
143414,Amritsar,PUNJAB,0,0,0
143415,Amritsar,PUNJAB,0,0,0
143416,Amritsar,PUNJAB,0,0,0
143419,Amritsar,PUNJAB,0,0,0
143422,Tarn Taran,PUNJAB,0,0,0
143501,Amritsar,PUNJAB,0,0,0
143502,Amritsar,PUNJAB,0,0,0
143504,Amritsar,PUNJAB,0,0,0
143505,Gurdaspur,PUNJAB,0,0,0
143506,Gurdaspur,PUNJAB,0,0,0
143507,Gurdaspur,PUNJAB,0,0,0
143511,Gurdaspur,PUNJAB,0,0,0
143512,Gurdaspur,PUNJAB,0,0,0
143513,Gurdaspur,PUNJAB,0,0,0
143514,Gurdaspur,PUNJAB,0,0,0
143515,Gurdaspur,PUNJAB,0,0,0
143516,Gurdaspur,PUNJAB,0,0,0
143517,Gurdaspur,PUNJAB,0,0,0
143518,Gurdaspur,PUNJAB,0,0,0
143519,Gurdaspur,PUNJAB,0,0,0
143520,Gurdaspur,PUNJAB,0,0,0
143521,Gurdaspur,PUNJAB,0,0,0
143525,Gurdaspur,PUNJAB,0,0,0
143526,Gurdaspur,PUNJAB,0,0,0
143527,Gurdaspur,PUNJAB,0,0,0
143528,Gurdaspur,PUNJAB,0,0,0
143529,Gurdaspur,PUNJAB,0,0,0
143530,Gurdaspur,PUNJAB,0,0,0
143531,Gurdaspur,PUNJAB,0,0,0
143532,Gurdaspur,PUNJAB,0,0,0
143533,Gurdaspur,PUNJAB,0,0,0
143534,Gurdaspur,PUNJAB,0,0,0
143601,Amritsar,PUNJAB,0,0,0
143602,Gurdaspur,PUNJAB,0,0,0
143603,Amritsar,PUNJAB,0,0,0
143604,Gurdaspur,PUNJAB,0,0,0
143605,Gurdaspur,PUNJAB,0,0,0
143606,Amritsar,PUNJAB,0,0,0
144001,Jalandhar,PUNJAB,0,0,0
144002,Jalandhar,PUNJAB,0,0,0
144003,Jalandhar,PUNJAB,0,0,0
144004,Jalandhar,PUNJAB,0,0,0
144005,Jalandhar,PUNJAB,0,0,0
144006,Jalandhar,PUNJAB,0,0,0
144007,Jalandhar,PUNJAB,0,0,0
144008,Jalandhar,PUNJAB,0,0,0
144009,Jalandhar,PUNJAB,0,0,0
144010,Jalandhar,PUNJAB,0,0,0
144011,Jalandhar,PUNJAB,0,0,0
144012,Jalandhar,PUNJAB,0,0,0
144013,Jalandhar,PUNJAB,0,0,0
144014,Jalandhar,PUNJAB,0,0,0
144020,Jalandhar,PUNJAB,0,0,0
144021,Jalandhar,PUNJAB,0,0,0
144022,Jalandhar,PUNJAB,0,0,0
144023,Jalandhar,PUNJAB,0,0,0
144024,Jalandhar,PUNJAB,0,0,0
144025,Jalandhar,PUNJAB,0,0,0
144026,Jalandhar,PUNJAB,0,0,0
144027,Jalandhar,PUNJAB,0,0,0
144028,Jalandhar,PUNJAB,0,0,0
144029,Jalandhar,PUNJAB,0,0,0
144030,Jalandhar,PUNJAB,0,0,0
144031,Jalandhar,PUNJAB,0,0,0
144032,Jalandhar,PUNJAB,0,0,0
144033,Jalandhar,PUNJAB,0,0,0
144034,Jalandhar,PUNJAB,0,0,0
144035,Jalandhar,PUNJAB,0,0,0
144036,Jalandhar,PUNJAB,0,0,0
144037,Jalandhar,PUNJAB,0,0,0
144039,Jalandhar,PUNJAB,0,0,0
144040,Jalandhar,PUNJAB,0,0,0
144041,Jalandhar,PUNJAB,0,0,0
144042,Jalandhar,PUNJAB,0,0,0
